Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",5,3.96,Saga Press,Kindle Edition,209,2019,2019,2022/05/09,2022/03/01,,,read,,,,1,,,0,,,,,
34002132,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""076532637X""","=""9780765326379""",0,4.60,Tor Books,Hardcover,1248,2017,2017,,2020/11/23,currently-reading,currently-reading (#10),currently-reading,,,,1,,,0,,,,,
16158576,Expecting Better: Why the Conventional Pregnancy Wisdom is Wrong - and What You Really Need to Know,Emily Oster,"Oster, Emily",,"=""1594204756""","=""9781594204753""",5,4.32,Penguin Press,Hardcover,336,2013,2013,2022/05/06,2022/03/07,,,read,,,,1,,,0,,,,,
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,3.99,William Morrow,Kindle Edition,880,2015,2015,,2022/05/05,to-read,to-read (#133),to-read,,,,0,,,0,,,,,
37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,"=""""","=""""",0,4.40,Knopf Publishing Group,Hardcover,339,2018,2018,,2022/05/03,to-read,to-read (#132),to-read,,,,0,,,0,,,,,
44279110,My Year of Rest and Relaxation,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""0525522131""","=""9780525522133""",2,3.74,Penguin Books,Paperback,289,2019,2018,2022/05/01,2022/04/18,,,read,,,,1,,,0,,,,,
34042555,A Macat analysis of Richard Dawkins' The Selfish Gene,Nicola Davis,"Davis, Nicola",,"=""""","=""""",3,3.02,macat.com,Kindle Edition,71,2015,2017,,2022/05/01,,,read,,,,1,,,0,,,,,
56587382,The Island of Missing Trees,Elif Shafak,"Shafak, Elif",,"=""0241434998""","=""9780241434994""",0,4.20,Viking,Hardcover,368,2021,2021,,2022/04/30,to-read,to-read (#131),to-read,,,,0,,,0,,,,,
50269327,Earthlings,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""1783785675""","=""9781783785674""",0,3.57,Granta Books,Hardcover,247,2020,2018,,2022/04/30,to-read,to-read (#130),to-read,,,,0,,,0,,,,,
16135533,The Intuitionist,Colson Whitehead,"Whitehead, Colson",,"=""""","=""""",3,3.65,Anchor,Kindle Edition,273,2012,1999,2022/04/30,2021/11/10,,,read,,,,1,,,0,,,,,
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",5,4.05,Penguin Press,Hardcover,246,2019,2019,2022/04/28,2022/04/10,,,read,,,,1,,,0,,,,,
54894517,The Guilty Feminist: You Don't Have to Be Perfect to Overthrow the Patriarchy,Deborah Frances-White,"Frances-White, Deborah","Jessamyn Stanley, Zoe Coombs Marr, Susan Wokoma, Bisha K. Ali, Reubs Walsh, Becca Bunce, Amika George, Mo Mansfied, Leyla Hussein, Hannah Gadsby, Adjoa Andoh","=""""","=""""",0,4.19,Seal Press,Audible Audio,,2019,2018,,2022/04/24,to-read,to-read (#129),to-read,,,,0,,,0,,,,,
40588534,Ten Steps to Nanette,Hannah Gadsby,"Gadsby, Hannah",,"=""1742374034""","=""9781742374031""",0,4.61,Allen & Unwin,Hardcover,400,2022,2022,,2022/04/24,to-read,to-read (#128),to-read,,,,0,,,0,,,,,
56015023,This Is Your Mind on Plants,Michael Pollan,"Pollan, Michael",,"=""0593296907""","=""9780593296905""",5,3.86,Penguin Press,Hardcover,288,2021,2021,2022/04/22,2022/04/20,,,read,,,,1,,,0,,,,,
5128,The Doors of Perception & Heaven and Hell,Aldous Huxley,"Huxley, Aldous",,"=""0060595183""","=""9780060595180""",0,3.93,Harper Perennial Modern Classics,Paperback,187,2004,1956,,2022/04/21,to-read,to-read (#127),to-read,,,,0,,,0,,,,,
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",0,4.18,Tor Books,Mass Market Paperback,800,1990,1990,,2021/04/15,to-read,to-read (#118),to-read,,,,0,,,0,,,,,
56269045,Eating Salad Drunk: Haikus for the Burnout Age by Comedy Greats,Gabe Henry,"Henry, Gabe","Aparna Nancherla, Emily Flake","=""1250774217""","=""9781250774217""",0,3.80,St. Martin's Griffin,Hardcover,240,2022,2022,,2022/04/20,to-read,to-read (#111),to-read,,,,0,,,0,,,,,
40749239,A Mind Spread Out on the Ground,Alicia Elliott,"Elliott, Alicia",,"=""0385692382""","=""9780385692380""",0,4.47,Doubleday Canada,Hardcover,240,2019,2019,,2022/04/20,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
38362809,"Rosewater (The Wormwood Trilogy, #1)",Tade Thompson,"Thompson, Tade",,"=""0316449059""","=""9780316449052""",4,3.77,Orbit,Paperback,432,2018,2017,2022/04/20,2020/12/10,,,read,,,,1,,,0,,,,,
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",5,4.04,Crown Business,Hardcover,260,2014,2011,2022/04/16,2022/03/01,,,read,,,,1,,,0,,,,,
32739570,The Women Who Made New York,Julie Scelfo,"Scelfo, Julie",Hallie Heald,"=""""","=""""",0,4.00,Seal Press,Kindle Edition,351,2016,,,2022/04/16,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
7905092,Freedom,Jonathan Franzen,"Franzen, Jonathan",,"=""0374158460""","=""9780374158460""",0,3.77,"Farrar, Straus and Giroux",Hardcover,562,2010,2010,,2021/10/26,to-read,to-read (#125),to-read,,,,0,,,0,,,,,
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",5,4.52,Penguin Group DAW,Hardcover,662,2007,2007,2019/09/01,2020/09/09,,,read,,,,2,,,0,,,,,
19034943,"The Secret Commonwealth (The Book of Dust, #2)",Philip Pullman,"Pullman, Philip",,"=""""","=""""",5,4.05,RHCP Digital,ebook,784,2019,2019,2022/04/14,2020/11/23,,,read,,,,1,,,0,,,,,
58582927,Time Is a Mother,Ocean Vuong,"Vuong, Ocean",,"=""0593300238""","=""9780593300237""",0,4.24,Penguin Press,Hardcover,128,2022,2022,,2022/04/10,to-read,to-read (#110),to-read,,,,0,,,0,,,,,
23841432,Night Sky with Exit Wounds,Ocean Vuong,"Vuong, Ocean",,"=""""","=""""",0,4.22,Copper Canyon Press,Paperback,89,2016,2016,,2022/04/10,to-read,to-read (#109),to-read,,,,0,,,0,,,,,
43386658,In the Flo: Unlock Your Hormonal Advantage and Revolutionize Your Life,Alisa Vitti,"Vitti, Alisa",,"=""0062870483""","=""9780062870483""",5,3.98,HarperOne,Hardcover,384,2020,,2022/04/09,2022/02/07,,,read,,,,1,,,0,,,,,
24402980,"Designer Relationships: A Guide to Happy Monogamy, Positive Polyamory, and Optimistic Open Relationships",Mark A. Michaels,"Michaels, Mark A.",Patricia  Johnson,"=""1627781471""","=""9781627781473""",3,3.70,Cleis Press,Paperback,168,2015,2015,2022/03/30,2022/03/17,,,read,,,,1,,,0,,,,,
18505796,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Dan   Harris,"Harris, Dan",,"=""0062265423""","=""9780062265425""",5,3.92,It Books,Hardcover,256,2014,2014,2022/03/27,2022/03/02,,,read,,,,1,,,0,,,,,
56213211,What We Owe Each Other: A New Social Contract for a Better Society,Minouche Shafik,"Shafik, Minouche",,"=""0691204454""","=""9780691204451""",0,3.93,Princeton University Press,Hardcover,256,2021,2021,,2022/03/27,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
18952341,"The Grace of Kings (The Dandelion Dynasty, #1)",Ken Liu,"Liu, Ken",,"=""1481424270""","=""9781481424271""",4,3.73,Saga Press,Hardcover,640,2015,2015,2022/03/27,2021/12/08,,,read,,,,1,,,0,,,,,
51205436,Unbound: A Woman’s Guide To Power,Kasia Urbaniak,"Urbaniak, Kasia",,"=""1785042882""","=""9781785042881""",5,4.38,Vermilion,Paperback,288,2020,,2022/03/25,2022/03/01,,,read,,,,1,,,0,,,,,
37424706,The Art of Gathering: How We Meet and Why It Matters,Priya Parker,"Parker, Priya",,"=""1594634920""","=""9781594634925""",4,4.01,Riverhead Books,Hardcover,320,2018,2018,2022/03/24,2020/11/23,blinkist,blinkist (#21),read,,,,1,,,0,,,,,
155981,"Psycho-Cybernetics, A New Way to Get More Living Out of Life",Maxwell Maltz,"Maltz, Maxwell",,"=""0671700758""","=""9780671700751""",3,4.23,Pocket,Mass Market Paperback,288,1989,1960,2022/03/20,2021/08/10,blinkist,blinkist (#6),read,,,,1,,,0,,,,,
16278318,Armada,Ernest Cline,"Cline, Ernest",,"=""0804137250""","=""9780804137256""",4,3.54,Crown Publishing ,Hardcover,355,2015,2015,2022/03/15,2022/01/02,,,read,,,,1,,,0,,,,,
55835474,Nightbitch,Rachel Yoder,"Yoder, Rachel",,"=""0385546815""","=""9780385546812""",0,3.70,Doubleday Books,Hardcover,256,2021,2021,,2022/03/14,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
40672036,Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"Newport, Cal",,"=""""","=""""",3,4.07,Portfolio,Kindle Edition,302,2019,2019,2022/03/14,2022/03/01,,,read,,,,1,,,0,,,,,
25674658,Alice's Adventures in Wonderland,Lewis Carroll,"Carroll, Lewis",Salvador Dalí,"=""0691170029""","=""9780691170022""",3,3.99,Princeton University Press,Hardcover,136,2015,1865,2022/03/11,2022/03/11,,,read,,,,1,,,0,,,,,
56347680,The Right to Sex: Feminism in the Twenty-First Century,Amia Srinivasan,"Srinivasan, Amia",,"=""0374721033""","=""9780374721039""",0,4.26,"Farrar, Straus and Giroux",ebook,304,2021,2021,,2022/03/11,to-read,to-read (#108),to-read,,,,0,,,0,,,,,
14569052,Purple Hibiscus,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""1616202416""","=""9781616202415""",0,4.18,Algonquin Books,Paperback,336,2012,2003,,2022/03/11,to-read,to-read (#106),to-read,,,,0,,,0,,,,,
18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""1400044162""","=""9781400044160""",0,4.32,Knopf,Hardcover,433,2006,2006,,2022/03/11,to-read,to-read (#107),to-read,,,,0,,,0,,,,,
22738563,We Should All Be Feminists,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""""","=""""",0,4.42,Vintage,Kindle Edition,65,2014,2012,,2022/03/11,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
52514416,Tomorrow Sex Will Be Good Again: Women and Desire in the Age of Consent,Katherine Angel,"Angel, Katherine",,"=""""","=""""",0,4.13,Verso,Hardcover,160,2021,2021,,2022/03/11,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
54304185,"Bow Down: Lessons from Dominatrixes on How to Be a Boss in Life, Love, and Work",Lindsay Goldwert,"Goldwert, Lindsay",,"=""1982130512""","=""9781982130510""",0,4.09,S/Simon Element,Paperback,304,2021,,,2022/03/11,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
